w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,5872.060,5872.060,5847.288,24.772
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,5881.414,5881.414,5855.655,25.758
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,5881.755,5881.755,5856.844,24.911
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,5893.394,5893.394,5863.985,29.409
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,5875.856,5875.856,5851.407,24.449
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,5887.667,5887.667,5863.020,24.647
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,5885.836,5885.836,5861.623,24.213
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,5901.662,5901.662,5872.229,29.433
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,5895.314,5895.314,5859.280,36.034
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,5903.013,5903.013,5869.650,33.363
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,5908.302,5908.302,5874.892,33.410
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,5907.616,5907.616,5878.643,28.973
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,5900.545,5900.545,5864.207,36.338
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,5909.560,5909.560,5876.102,33.457
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,5916.511,5916.511,5878.884,37.627
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,5920.327,5920.327,5886.144,34.184
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,5885.119,5885.119,5865.692,19.427
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,5890.335,5890.335,5872.488,17.846
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,5897.207,5897.207,5869.011,28.196
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,5897.205,5897.205,5875.537,21.668
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,5896.360,5896.360,5869.118,27.242
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,5896.208,5896.208,5881.086,15.122
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,5902.091,5902.091,5875.049,27.041
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,5908.571,5908.571,5885.949,22.622
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,5920.520,5920.520,5865.593,54.926
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,5926.452,5926.452,5868.176,58.276
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,5930.164,5930.164,5869.680,60.484
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,5934.876,5934.876,5877.650,57.226
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,5924.133,5924.133,5866.323,57.810
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,5933.703,5933.703,5874.094,59.609
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,5930.645,5930.645,5873.467,57.179
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,5936.419,5936.419,5879.022,57.397
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,5881.333,5881.333,5854.612,26.721
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,5887.765,5887.765,5862.781,24.984
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,5890.913,5890.913,5862.359,28.554
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,5895.333,5895.333,5869.094,26.239
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,5877.009,5877.009,5854.125,22.885
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,5888.732,5888.732,5869.884,18.848
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,5888.107,5888.107,5865.491,22.616
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,5902.148,5902.148,5875.248,26.900
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,5902.160,5902.160,5863.936,38.224
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,5906.999,5906.999,5873.202,33.797
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,5909.057,5909.057,5876.040,33.017
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,5909.889,5909.889,5880.204,29.685
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,5900.493,5900.493,5864.097,36.396
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,5917.734,5917.734,5878.474,39.260
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,5911.612,5911.612,5877.814,33.798
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,5914.354,5914.354,5884.499,29.855
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,5887.558,5887.558,5865.360,22.198
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,5889.439,5889.439,5871.788,17.652
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,5891.991,5891.991,5865.218,26.773
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,5892.796,5892.796,5872.028,20.768
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,5886.072,5886.072,5861.962,24.110
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,5894.734,5894.734,5877.662,17.072
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,5903.720,5903.720,5867.495,36.225
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,5894.104,5894.104,5876.661,17.443
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,5941.228,5941.228,5883.027,58.201
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,5948.822,5948.822,5883.885,64.938
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,5951.336,5951.336,5889.784,61.552
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,5943.088,5943.088,5890.415,52.673
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,5953.120,5953.120,5883.140,69.980
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,5943.369,5943.369,5893.329,50.040
