w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,1274.060,1274.060,1272.278,1.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,1283.414,1283.414,1280.645,2.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,1283.755,1283.755,1281.834,1.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,1295.394,1295.394,1288.975,6.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,1277.856,1277.856,1276.397,1.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,1289.667,1289.667,1288.010,1.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,1287.836,1287.836,1286.613,1.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,1303.662,1303.662,1297.219,6.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,1297.314,1297.314,1287.933,9.381
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,1305.013,1305.013,1294.718,10.295
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,1310.302,1310.302,1301.644,8.658
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,1309.616,1309.616,1303.723,5.893
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,1302.545,1302.545,1293.175,9.370
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,1311.560,1311.560,1301.404,10.156
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,1318.511,1318.511,1306.810,11.701
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,1322.327,1322.327,1311.352,10.975
0,1,0,0,0,0,0.256,0.250,43.985,48.660,0,1290.682,1287.119,1290.682,-3.563
0,1,0,0,0,1,0.255,0.225,41.673,44.625,0,1297.478,1292.335,1297.478,-5.144
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,1299.207,1299.207,1295.712,3.495
0,1,0,0,1,1,0.404,0.350,34.769,34.230,0,1300.769,1299.205,1300.769,-1.564
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,1298.360,1298.360,1294.108,4.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,0,1306.076,1298.208,1306.076,-7.868
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,1304.091,1304.091,1302.353,1.738
0,1,0,1,1,1,0.613,0.600,40.515,31.500,0,1311.088,1310.571,1311.088,-0.517
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,1322.520,1322.520,1292.276,30.244
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,1328.452,1328.452,1293.586,34.867
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,1332.164,1332.164,1296.731,35.433
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,1336.876,1336.876,1304.323,32.553
