time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19923;19922;0.1;1000.0;1;0;0 
22560;2636;50.05;0.0;2;0;0 
26246;3685;25.075;218.0;3;0;0 
46360;20113;12.5875;1000.0;4;0;0 
66225;19863;18.83125;917.0;5;0;0 
86190;19964;21.953125;855.0;6;0;0 
90189;3998;23.5140625;271.0;7;0;0 
110276;20086;22.73359375;804.0;8;0;0 
115087;4810;23.123828125000003;271.0;9;0;0 
136734;21646;22.9287109375;796.0;10;0;0 
157842;21108;23.02626953125;796.0;11;0;0 
178595;20751;23.075048828125002;796.0;12;0;0 
184038;5443;23.099438476562504;284.0;13;0;0 
204611;20573;23.08724365234375;796.0;14;0;0 
225311;20696;23.093341064453128;796.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20519;20519;0.1;1000.0;1;0;0 
23426;2906;50.05;0.0;2;0;0 
27166;3739;25.075;231.0;3;0;0 
47801;20634;12.5875;1000.0;4;0;0 
68247;20446;18.83125;942.0;5;0;0 
88622;20374;21.953125;894.0;6;0;0 
92810;4186;23.5140625;317.0;7;0;0 
114161;21349;22.73359375;840.0;8;0;0 
119203;5041;23.123828125000003;317.0;9;0;0 
139719;20514;22.9287109375;836.0;10;0;0 
164220;24500;23.02626953125;836.0;11;0;0 
186137;21916;23.075048828125002;836.0;12;0;0 
192124;5985;23.099438476562504;336.0;13;0;0 
213452;21328;23.08724365234375;836.0;14;0;0 
234002;20548;23.093341064453128;836.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20334;20334;0.1;1000.0;1;0;0 
23184;2849;50.05;0.0;2;0;0 
26900;3714;25.075;109.0;3;0;0 
47404;20502;12.5875;1000.0;4;0;0 
67715;20310;18.83125;893.0;5;0;0 
88359;20643;21.953125;824.0;6;0;0 
92476;4116;23.5140625;164.0;7;0;0 
112779;20301;22.73359375;767.0;8;0;0 
117796;5016;23.123828125000003;164.0;9;0;0 
138290;20493;22.9287109375;767.0;10;0;0 
158664;20374;23.02626953125;767.0;11;0;0 
179015;20350;23.075048828125002;767.0;12;0;0 
184407;5392;23.099438476562504;188.0;13;0;0 
206445;22037;23.08724365234375;767.0;14;0;0 
228483;22036;23.093341064453128;767.0;15;0;0 
