time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
190461;190460;1;1000;1;0;0 
383144;192682;2;1000;2;0;0 
576023;192879;3;1000;3;0;0 
773926;197903;4;1000;4;0;0 
983718;209792;5;1000;5;0;0 
1180279;196559;6;1000;6;0;0 
1369589;189309;7;1000;7;0;0 
1555515;185925;8;1000;8;0;0 
1757090;201574;9;1000;9;0;0 
1943468;186378;10;1000;10;0;0 
2130843;187375;11;1000;11;0;0 
2317243;186400;12;1000;12;0;0 
2503395;186151;13;1000;13;0;0 
2707001;203605;14;1000;14;0;0 
2893945;186944;15;1000;15;0;0 
3081381;187435;16;986;16;0;0 
3267568;186186;17;986;17;0;0 
3453961;186377;18;933;18;0;0 
3655348;201384;19;915;19;0;0 
3841827;186479;20;877;20;0;0 
4028909;187082;21;868;21;0;0 
4215347;186436;22;865;22;0;0 
4416677;201329;23;807;23;0;0 
4603955;187277;24;777;24;0;0 
4791165;187210;25;266;25;0;0 
4977790;186624;26;182;26;0;0 
5164907;187117;27;132;27;0;0 
5365417;200510;28;116;28;0;0 
5552357;186923;29;73;29;0;0 
5739699;187342;30;73;30;0;0 
5926455;186756;31;58;31;0;0 
6113787;187331;32;11;32;0;0 
6316036;202249;33;5;33;0;0 
6503615;187578;34;5;34;0;0 
6691744;188128;35;5;35;0;0 
6878444;186699;36;5;36;0;0 
7068543;190097;37;5;37;0;0 
7270822;202277;38;5;38;0;0 
7457988;187165;39;0;39;0;0 
7644601;186613;40;0;40;0;0 
7831337;186735;41;0;41;0;0 
8031782;200444;42;0;42;0;0 
8220753;188970;43;0;43;0;0 
8408598;187845;44;0;44;0;0 
8597992;189392;45;0;45;0;0 
8785215;187222;46;0;46;0;0 
8988409;203193;47;0;47;0;0 
9175532;187123;48;0;48;0;0 
9362106;186573;49;0;49;0;0 
