,t1_buy,t2_buy,t3_buy,t1_prom,t2_prom,t3_prom,p_no_prom,size_no_prom,p_prom,size_prom,prom,has_bought,size,t1_size,t2_size,t3_size
8,0,0,1,0,0,0,0.075,83.07819456857943,0.0760175399766955,89.43554033446033,1,0,0.0,0.0,0.0,92.52485380600865
56,1,1,1,0,0,0,0.45,56.82754085516693,0.5042273847006001,68.88754565661692,0,0,0.0,45.65167838559669,53.29080419407175,68.42257482440081
17,0,1,0,0,0,1,0.225,89.53625582175053,0.2562718006677685,106.65219141321282,1,0,0.0,0.0,78.79198682492559,0.0
1,0,0,0,0,0,1,0.075,103.25311040793125,0.0862118197740246,108.424488194058,0,0,0.0,0.0,0.0,0.0
28,0,1,1,1,0,0,0.4,49.93889142783424,0.3782754315991496,54.89480524562234,0,0,0.0,0.0,62.020932358304755,62.86619586703833
51,1,1,0,0,1,1,0.5,68.06368354621976,0.4989004002974317,66.67223740268619,1,0,0.0,82.6295628367105,67.84946687803549,0.0
7,0,0,0,1,1,1,0.45,124.95471414227302,0.5251574228249948,116.05885940321578,1,0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,1,0.075,103.25311040793125,0.0862118197740246,108.424488194058,1,1,110.34052695956849,0.0,0.0,0.0
52,1,1,0,1,0,0,0.6,57.87798339215071,0.6354376770478641,53.80252863053108,0,1,49.94379245384782,55.63298128948715,45.245994718678524,0.0
55,1,1,0,1,1,1,0.75,104.0332073346202,0.8922042295314567,124.53047546787587,1,1,122.59403317423309,112.07047079837659,134.44819405854852,0.0
11,0,0,1,0,1,1,0.175,80.91495307631853,0.1966321504713814,84.07969918800661,1,0,0.0,0.0,0.0,70.84434528169416
36,1,0,0,1,0,0,0.5,45.08457292642554,0.4794532860368049,49.3239629815016,0,0,0.0,61.384928240796015,0.0,0.0
3,0,0,0,0,1,1,0.2,88.9851903538726,0.2132350067548039,87.37153083976243,1,0,0.0,0.0,0.0,0.0
6,0,0,0,1,1,0,0.3999999999999999,72.3653846212308,0.4371386869762977,76.62877296356378,1,0,0.0,0.0,0.0,0.0
9,0,0,1,0,0,1,0.05,95.18287313037716,0.0583593116255889,94.6325381886847,0,1,91.56771858465888,0.0,0.0,91.39503215769022
55,1,1,0,1,1,1,0.75,104.0332073346202,0.8922042295314567,124.53047546787587,1,1,116.50925207637562,138.71140012175186,138.11370639984733,0.0
26,0,1,1,0,1,0,0.35,86.46037255404062,0.4043186008323386,87.53894524786821,0,0,0.0,0.0,79.65019163564102,76.7322880401186
13,0,0,1,1,0,1,0.1999999999999999,72.8128388699362,0.1941544880515839,75.52902136868046,1,0,0.0,0.0,0.0,71.15712596688874
5,0,0,0,1,0,1,0.2249999999999999,80.88307614749027,0.2444926323022708,98.24368202148004,0,0,0.0,0.0,0.0,0.0
37,1,0,0,1,0,1,0.425,47.16815887411228,0.4295275582337363,50.829141009149446,0,1,33.88227550476854,45.972479276873976,0.0,0.0
44,1,0,1,1,0,0,0.425,77.36705595876165,0.3881157446856691,70.80105650557655,1,1,80.93572970880122,77.02989725564701,0.0,87.1648436172697
26,0,1,1,0,1,0,0.35,86.46037255404062,0.4043186008323386,87.53894524786821,1,1,88.7293410201047,0.0,79.75063790698461,78.68265471223113
6,0,0,0,1,1,0,0.3999999999999999,72.3653846212308,0.4371386869762977,76.62877296356378,0,1,73.0374431202585,0.0,0.0,0.0
34,1,0,0,0,1,0,0.45,81.60605405263192,0.4871017505235103,105.76769688358758,1,0,0.0,82.61428861705261,0.0,0.0
41,1,0,1,0,0,1,0.1999999999999999,101.82067616688936,0.21189776446417,94.10143687072566,0,0,0.0,101.42339335660516,0.0,80.55520484696417
22,0,1,0,1,1,0,0.55,58.64853003505007,0.5292510958376767,63.08698136326425,0,1,64.99758853345641,0.0,63.23796231340718,0.0
3,0,0,0,0,1,1,0.2,88.9851903538726,0.2132350067548039,87.37153083976243,0,0,0.0,0.0,0.0,0.0
17,0,1,0,0,0,1,0.225,89.53625582175053,0.2562718006677685,106.65219141321282,0,0,0.0,0.0,102.88385721513836,0.0
29,0,1,1,1,0,1,0.3249999999999999,52.02247737552098,0.3446123708700661,58.20210016447598,1,0,0.0,0.0,47.15418152054095,66.36074600224006
53,1,1,0,1,0,1,0.5249999999999999,59.961569339837446,0.5478593989732252,61.41645464613427,1,1,53.78733030276646,56.06324043759387,55.914719548384866,0.0
54,1,1,0,1,1,0,0.7,51.44387781357797,0.7925193428992049,66.31101090014461,0,1,42.76207953156244,52.77569972975445,80.88583889039846,0.0
23,0,1,0,1,1,1,0.6000000000000001,111.23785955609227,0.7095777128005029,116.30108875434183,1,1,126.7449892072915,0.0,125.01044826740987,0.0
63,1,1,1,1,1,1,0.8,90.63382315130644,0.8136690536236876,83.1549059826161,1,1,74.53451604661255,91.3254327252838,73.8730918314699,76.49477988963535
21,0,1,0,1,0,1,0.375,67.16622156130956,0.4395571520218141,65.18026469248423,1,1,52.86116471129075,0.0,78.71057557226051,0.0
9,0,0,1,0,0,1,0.05,95.18287313037716,0.0583593116255889,94.6325381886847,1,0,0.0,0.0,0.0,89.46172280769707
7,0,0,0,1,1,1,0.45,124.95471414227302,0.5251574228249948,116.05885940321578,0,1,117.11229871673984,0.0,0.0,0.0
41,1,0,1,0,0,1,0.1999999999999999,101.82067616688936,0.21189776446417,94.10143687072566,0,0,0.0,96.36156283782407,0.0,89.16902350865304
0,0,0,0,0,0,0,0.1,91.1484318461335,0.1086630914442542,117.40284869551238,1,0,0.0,0.0,0.0,0.0
7,0,0,0,1,1,1,0.45,124.95471414227302,0.5251574228249948,116.05885940321578,0,1,127.42494795645098,0.0,0.0,0.0
1,0,0,0,0,0,1,0.075,103.25311040793125,0.0862118197740246,108.424488194058,0,0,0.0,0.0,0.0,0.0
28,0,1,1,1,0,0,0.4,49.93889142783424,0.3782754315991496,54.89480524562234,1,1,63.70616558360638,0.0,47.05417459730136,43.78552021443217
1,0,0,0,0,0,1,0.075,103.25311040793125,0.0862118197740246,108.424488194058,0,0,0.0,0.0,0.0,0.0
22,0,1,0,1,1,0,0.55,58.64853003505007,0.5292510958376767,63.08698136326425,1,1,68.7820121200229,0.0,49.447234217001586,0.0
10,0,0,1,0,1,0,0.225,107.25073404845584,0.2548824879975176,101.34668745567468,1,0,0.0,0.0,0.0,108.26411416562942
23,0,1,0,1,1,1,0.6000000000000001,111.23785955609227,0.7095777128005029,116.30108875434183,1,0,0.0,0.0,111.86122114269162,0.0
52,1,1,0,1,0,0,0.6,57.87798339215071,0.6354376770478641,53.80252863053108,0,1,63.958056343272936,59.24517585666382,58.062925395382734,0.0
