;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models/logit_model_10000.sav;models/linear_model_10000.sav;models/random_forest_clf_10000.sav;models/random_forest_regr_10000.sav;models/gradient_boosting_clf_10000.sav;models/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models/logit_model_8000.sav;models/linear_model_8000.sav;models/random_forest_clf_8000.sav;models/random_forest_regr_8000.sav;models/gradient_boosting_clf_8000.sav;models/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models/logit_model_6000.sav;models/linear_model_6000.sav;models/random_forest_clf_6000.sav;models/random_forest_regr_6000.sav;models/gradient_boosting_clf_6000.sav;models/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models/logit_model_5000.sav;models/linear_model_5000.sav;models/random_forest_clf_5000.sav;models/random_forest_regr_5000.sav;models/gradient_boosting_clf_5000.sav;models/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models/logit_model_4000.sav;models/linear_model_4000.sav;models/random_forest_clf_4000.sav;models/random_forest_regr_4000.sav;models/gradient_boosting_clf_4000.sav;models/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models/logit_model_3000.sav;models/linear_model_3000.sav;models/random_forest_clf_3000.sav;models/random_forest_regr_3000.sav;models/gradient_boosting_clf_3000.sav;models/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models/logit_model_2000.sav;models/linear_model_2000.sav;models/random_forest_clf_2000.sav;models/random_forest_regr_2000.sav;models/gradient_boosting_clf_2000.sav;models/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models/logit_model_1000.sav;models/linear_model_1000.sav;models/random_forest_clf_1000.sav;models/random_forest_regr_1000.sav;models/gradient_boosting_clf_1000.sav;models/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models/logit_model_500.sav;models/linear_model_500.sav;models/random_forest_clf_500.sav;models/random_forest_regr_500.sav;models/gradient_boosting_clf_500.sav;models/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models/logit_model_200.sav;models/linear_model_200.sav;models/random_forest_clf_200.sav;models/random_forest_regr_200.sav;models/gradient_boosting_clf_200.sav;models/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models/logit_model_100.sav;models/linear_model_100.sav;models/random_forest_clf_100.sav;models/random_forest_regr_100.sav;models/gradient_boosting_clf_100.sav;models/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models/logit_model_50.sav;models/linear_model_50.sav;models/random_forest_clf_50.sav;models/random_forest_regr_50.sav;models/gradient_boosting_clf_50.sav;models/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.666;;0.6626;;0.6633;;accuracy;10000
precision;;0.47308;;0.46918;;0.4609;;precision;10000
recall;;0.62264;;0.61711;;0.62114;;recall;10000
f1_score;;0.53765;;0.53308;;0.52916;;f1_score;10000
Explained Variance;;0.94583;;0.91268;;0.95481;;Explained Variance;10000
Mean Squared Error;;0.00177;;0.00286;;0.00148;;Mean Squared Error;10000
Root Mean Squared Error;;0.04206;;0.05344;;0.03843;;Root Mean Squared Error;10000
Mean Absolut Error;;0.03254;;0.04064;;0.03052;;Mean Absolut Error;10000
R2;;0.94583;;0.91254;;0.95476;;R2;10000
Explained Variance;;;0.75737;;0.84765;;0.84206;Explained Variance;10000
Mean Squared Error;;;152.77094;;95.94607;;99.49277;Mean Squared Error;10000
Root Mean Squared Error;;;12.36005;;9.79521;;9.97461;Root Mean Squared Error;10000
Mean Absolut Error;;;10.07628;;8.14506;;8.35835;Mean Absolut Error;10000
R2;;;0.75737;;0.84762;;0.84198;R2;10000
accuracy;;0.665;;0.6595;;0.6649;;accuracy;8000
precision;;0.50183;;0.47868;;0.48112;;precision;8000
recall;;0.61218;;0.60836;;0.61796;;recall;8000
f1_score;;0.55154;;0.53579;;0.54102;;f1_score;8000
Explained Variance;;0.94399;;0.89591;;0.94572;;Explained Variance;8000
Mean Squared Error;;0.00183;;0.0034;;0.00178;;Mean Squared Error;8000
Root Mean Squared Error;;0.04277;;0.05833;;0.04213;;Root Mean Squared Error;8000
Mean Absolut Error;;0.03306;;0.04551;;0.03218;;Mean Absolut Error;8000
R2;;0.94399;;0.8958;;0.94564;;R2;8000
Explained Variance;;;0.75718;;0.84579;;0.84145;Explained Variance;8000
Mean Squared Error;;;152.9056;;97.11067;;99.86978;Mean Squared Error;8000
Root Mean Squared Error;;;12.3655;;9.85447;;9.99349;Root Mean Squared Error;8000
Mean Absolut Error;;;10.07737;;8.19856;;8.3729;Mean Absolut Error;8000
R2;;;0.75715;;0.84577;;0.84139;R2;8000
accuracy;;0.6652;;0.6601;;0.6654;;accuracy;6000
precision;;0.48136;;0.47844;;0.48307;;precision;6000
recall;;0.61847;;0.60956;;0.61833;;recall;6000
f1_score;;0.54137;;0.5361;;0.5424;;f1_score;6000
Explained Variance;;0.93283;;0.84316;;0.91694;;Explained Variance;6000
Mean Squared Error;;0.00219;;0.00513;;0.00271;;Mean Squared Error;6000
Root Mean Squared Error;;0.04684;;0.0716;;0.05208;;Root Mean Squared Error;6000
Mean Absolut Error;;0.03646;;0.05541;;0.03964;;Mean Absolut Error;6000
R2;;0.93281;;0.84297;;0.91694;;R2;6000
Explained Variance;;;0.75633;;0.83903;;0.83679;Explained Variance;6000
Mean Squared Error;;;153.43871;;101.38459;;102.79615;Mean Squared Error;6000
Root Mean Squared Error;;;12.38704;;10.06899;;10.13884;Root Mean Squared Error;6000
Mean Absolut Error;;;10.0945;;8.35707;;8.4586;Mean Absolut Error;6000
R2;;;0.75631;;0.83898;;0.83674;R2;6000
accuracy;;0.6645;;0.6569;;0.661;;accuracy;5000
precision;;0.48965;;0.51279;;0.4687;;precision;5000
recall;;0.61468;;0.59531;;0.61411;;recall;5000
f1_score;;0.54508;;0.55098;;0.53164;;f1_score;5000
Explained Variance;;0.92597;;0.82578;;0.91539;;Explained Variance;5000
Mean Squared Error;;0.00242;;0.00569;;0.00276;;Mean Squared Error;5000
Root Mean Squared Error;;0.0492;;0.07543;;0.05257;;Root Mean Squared Error;5000
Mean Absolut Error;;0.03869;;0.05891;;0.04108;;Mean Absolut Error;5000
R2;;0.92586;;0.82575;;0.91538;;R2;5000
Explained Variance;;;0.7562;;0.83501;;0.83554;Explained Variance;5000
Mean Squared Error;;;153.64944;;104.0683;;103.71056;Mean Squared Error;5000
Root Mean Squared Error;;;12.39554;;10.20139;;10.18384;Root Mean Squared Error;5000
Mean Absolut Error;;;10.09742;;8.43288;;8.48398;Mean Absolut Error;5000
R2;;;0.75597;;0.83472;;0.83529;R2;5000
accuracy;;0.6649;;0.656;;0.6633;;accuracy;4000
precision;;0.49915;;0.50012;;0.45067;;precision;4000
recall;;0.61274;;0.59663;;0.62458;;recall;4000
f1_score;;0.55014;;0.54413;;0.52356;;f1_score;4000
Explained Variance;;0.92317;;0.79233;;0.90668;;Explained Variance;4000
Mean Squared Error;;0.00251;;0.00678;;0.00305;;Mean Squared Error;4000
Root Mean Squared Error;;0.05012;;0.08235;;0.05521;;Root Mean Squared Error;4000
Mean Absolut Error;;0.03898;;0.0619;;0.04376;;Mean Absolut Error;4000
R2;;0.92307;;0.7923;;0.90664;;R2;4000
Explained Variance;;;0.75478;;0.83033;;0.83221;Explained Variance;4000
Mean Squared Error;;;154.45218;;107.05459;;105.85151;Mean Squared Error;4000
Root Mean Squared Error;;;12.42788;;10.34672;;10.28842;Root Mean Squared Error;4000
Mean Absolut Error;;;10.12503;;8.53819;;8.56852;Mean Absolut Error;4000
R2;;;0.7547;;0.82997;;0.83188;R2;4000
accuracy;;0.6638;;0.6488;;0.6615;;accuracy;3000
precision;;0.4821;;0.48599;;0.47747;;precision;3000
recall;;0.61555;;0.58728;;0.6125;;recall;3000
f1_score;;0.54071;;0.53186;;0.53662;;f1_score;3000
Explained Variance;;0.92627;;0.71685;;0.90099;;Explained Variance;3000
Mean Squared Error;;0.00245;;0.00929;;0.00328;;Mean Squared Error;3000
Root Mean Squared Error;;0.04953;;0.09639;;0.05726;;Root Mean Squared Error;3000
Mean Absolut Error;;0.03936;;0.07661;;0.04458;;Mean Absolut Error;3000
R2;;0.92487;;0.71543;;0.89957;;R2;3000
Explained Variance;;;0.75263;;0.82249;;0.82988;Explained Variance;3000
Mean Squared Error;;;155.77134;;112.05528;;107.30647;Mean Squared Error;3000
Root Mean Squared Error;;;12.48084;;10.58562;;10.35888;Root Mean Squared Error;3000
Mean Absolut Error;;;10.1637;;8.70234;;8.63052;Mean Absolut Error;3000
