time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19258;19257;0.1;1000.0;1;0;0 
21830;2572;50.05;0.0;2;0;0 
25187;3356;25.075;209.0;3;0;0 
44204;19015;12.5875;1000.0;4;0;0 
79561;35357;18.83125;938.0;5;0;0 
99286;19724;21.953125;885.0;6;0;0 
103154;3867;23.5140625;264.0;7;0;0 
122732;19576;22.73359375;839.0;8;0;0 
127412;4679;23.123828125000003;264.0;9;0;0 
146842;19429;22.9287109375;826.0;10;0;0 
167228;20385;23.02626953125;826.0;11;0;0 
188053;20824;23.075048828125002;826.0;12;0;0 
193533;5479;23.099438476562504;274.0;13;0;0 
214008;20473;23.08724365234375;826.0;14;0;0 
234726;20714;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20686;20686;0.1;1000.0;1;0;0 
23556;2868;50.05;0.0;2;0;0 
27301;3744;25.075;209.0;3;0;0 
47760;20459;12.5875;1000.0;4;0;0 
68564;20803;18.83125;938.0;5;0;0 
88875;20310;21.953125;885.0;6;0;0 
93126;4250;23.5140625;264.0;7;0;0 
113546;20420;22.73359375;839.0;8;0;0 
118561;5014;23.123828125000003;264.0;9;0;0 
139101;20538;22.9287109375;826.0;10;0;0 
159425;20323;23.02626953125;826.0;11;0;0 
179713;20286;23.075048828125002;826.0;12;0;0 
185092;5378;23.099438476562504;274.0;13;0;0 
205382;20289;23.08724365234375;826.0;14;0;0 
225645;20262;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20281;20280;0.1;1000.0;1;0;0 
23195;2913;50.05;0.0;2;0;0 
26833;3637;25.075;209.0;3;0;0 
47181;20348;12.5875;1000.0;4;0;0 
67527;20344;18.83125;938.0;5;0;0 
87834;20305;21.953125;885.0;6;0;0 
91871;4035;23.5140625;264.0;7;0;0 
112331;20459;22.73359375;839.0;8;0;0 
117258;4925;23.123828125000003;264.0;9;0;0 
137555;20295;22.9287109375;826.0;10;0;0 
158203;20646;23.02626953125;826.0;11;0;0 
178397;20194;23.075048828125002;826.0;12;0;0 
183748;5350;23.099438476562504;274.0;13;0;0 
203986;20236;23.08724365234375;826.0;14;0;0 
224373;20385;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20300;20299;0.1;1000.0;1;0;0 
23176;2875;50.05;0.0;2;0;0 
26794;3617;25.075;209.0;3;0;0 
47088;20292;12.5875;1000.0;4;0;0 
67369;20281;18.83125;938.0;5;0;0 
87678;20308;21.953125;885.0;6;0;0 
91795;4116;23.5140625;264.0;7;0;0 
112020;20224;22.73359375;839.0;8;0;0 
117554;5532;23.123828125000003;264.0;9;0;0 
138824;21269;22.9287109375;826.0;10;0;0 
159287;20462;23.02626953125;826.0;11;0;0 
179639;20351;23.075048828125002;826.0;12;0;0 
184954;5315;23.099438476562504;274.0;13;0;0 
205269;20313;23.08724365234375;826.0;14;0;0 
225398;20128;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20301;20301;0.1;1000.0;1;0;0 
23195;2893;50.05;0.0;2;0;0 
26927;3731;25.075;209.0;3;0;0 
51608;24680;12.5875;1000.0;4;0;0 
85152;33542;18.83125;938.0;5;0;0 
105498;20345;21.953125;885.0;6;0;0 
109633;4135;23.5140625;264.0;7;0;0 
129952;20318;22.73359375;839.0;8;0;0 
134874;4921;23.123828125000003;264.0;9;0;0 
155109;20234;22.9287109375;826.0;10;0;0 
175405;20295;23.02626953125;826.0;11;0;0 
195636;20230;23.075048828125002;826.0;12;0;0 
200983;5345;23.099438476562504;274.0;13;0;0 
221374;20390;23.08724365234375;826.0;14;0;0 
241698;20324;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
20219;20218;0.1;1000.0;1;0;0 
23122;2901;50.05;0.0;2;0;0 
26701;3577;25.075;209.0;3;0;0 
47085;20383;12.5875;1000.0;4;0;0 
66909;19823;18.83125;938.0;5;0;0 
86447;19538;21.953125;885.0;6;0;0 
90248;3799;23.5140625;264.0;7;0;0 
109662;19413;22.73359375;839.0;8;0;0 
114190;4527;23.123828125000003;264.0;9;0;0 
133538;19348;22.9287109375;826.0;10;0;0 
152646;19107;23.02626953125;826.0;11;0;0 
171743;19096;23.075048828125002;826.0;12;0;0 
176710;4966;23.099438476562504;274.0;13;0;0 
195841;19130;23.08724365234375;826.0;14;0;0 
214909;19067;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19155;19155;0.1;1000.0;1;0;0 
21844;2687;50.05;0.0;2;0;0 
25231;3386;25.075;209.0;3;0;0 
44548;19317;12.5875;1000.0;4;0;0 
63818;19269;18.83125;938.0;5;0;0 
83074;19254;21.953125;885.0;6;0;0 
86839;3764;23.5140625;264.0;7;0;0 
106131;19289;22.73359375;839.0;8;0;0 
110634;4503;23.123828125000003;264.0;9;0;0 
129864;19228;22.9287109375;826.0;10;0;0 
149080;19216;23.02626953125;826.0;11;0;0 
168225;19143;23.075048828125002;826.0;12;0;0 
173168;4942;23.099438476562504;274.0;13;0;0 
192326;19158;23.08724365234375;826.0;14;0;0 
211281;18953;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19180;19180;0.1;1000.0;1;0;0 
21784;2603;50.05;0.0;2;0;0 
25088;3301;25.075;209.0;3;0;0 
44402;19314;12.5875;1000.0;4;0;0 
63549;19145;18.83125;938.0;5;0;0 
82736;19186;21.953125;885.0;6;0;0 
86471;3734;23.5140625;264.0;7;0;0 
105714;19242;22.73359375;839.0;8;0;0 
110161;4446;23.123828125000003;264.0;9;0;0 
129366;19204;22.9287109375;826.0;10;0;0 
148608;19242;23.02626953125;826.0;11;0;0 
168077;19468;23.075048828125002;826.0;12;0;0 
172998;4919;23.099438476562504;274.0;13;0;0 
192516;19502;23.08724365234375;826.0;14;0;0 
