;models;proms_sent;buys;orders_sum;profit;exp_profit;period;run;min_proms;max_proms
0;c_balanced;500;413;32621,7;12093,9;12011,2;1;1;0;0
0;c_balanced;500;410;33752,7;12686,4;12011,2;2;1;0;0
0;c_balanced;500;399;31937,0;11877,5;12011,2;3;1;0;0
0;c_balanced;500;393;31523,1;11724,6;12011,2;4;1;0;0
0;c_balanced;500;420;33756,5;12598,2;12011,2;5;1;0;0
0;c_balanced;500;391;30979,0;11470,5;12011,2;6;1;0;0
0;c_balanced;500;381;30129,1;11135,6;12011,2;7;1;0;0
0;c_balanced;500;369;28598,3;10478,2;12011,2;8;1;0;0
0;c_balanced;500;406;32418,9;12055,5;12011,2;9;1;0;0
0;c_balanced;500;384;30607,5;11347,7;12011,2;10;1;0;0
0;c_balanced;500;388;31033,2;11524,6;12011,2;11;1;0;0
0;c_balanced;500;396;31564,2;11718,1;12011,2;12;1;0;0
0;c_umkippheuristik;0;388;30735,4;11875,7;10744,6;1;1;0;0
0;c_umkippheuristik;0;388;27400,3;10208,1;9866,5;2;1;0;0
0;c_umkippheuristik;0;294;19423,6;7065,8;7476,7;3;1;0;0
0;c_umkippheuristik;0;216;15195,4;5653,7;5898,8;4;1;0;0
0;c_umkippheuristik;0;201;14584,1;5483,1;5654,2;5;1;0;0
0;c_umkippheuristik;0;200;15137,3;5768,6;5100,1;6;1;0;0
0;c_umkippheuristik;0;174;13332,3;5100,2;4800,9;7;1;0;0
0;c_umkippheuristik;0;157;12198,7;4686,3;4787,6;8;1;0;0
0;c_umkippheuristik;0;154;12092,2;4660,1;4739,5;9;1;0;0
0;c_umkippheuristik;0;167;13092,2;5043,1;4587,7;10;1;0;0
0;c_umkippheuristik;0;149;12105,3;4711,7;4531,9;11;1;0;0
0;c_umkippheuristik;0;155;12174,5;4692,3;4561,1;12;1;0;0
0;q_value_diff_c1;0;372;29363,9;11333,9;10744,6;1;1;0;0
0;q_value_diff_c1;0;391;27201,0;10081,5;9715,0;2;1;0;0
0;q_value_diff_c1;0;341;22484,8;8173,4;7421,0;3;1;0;0
