;t1_buy;t2_buy;t3_buy;t1_prom;t2_prom;t3_prom;p_no_prom_x;p_prom_x;prom;logit_prob
77;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
85;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
195;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
276;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
301;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
352;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
388;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
416;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
474;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
487;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
493;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
551;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
558;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
767;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
831;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
835;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
938;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
945;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
967;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
980;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1000;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1069;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1075;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1157;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1159;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1306;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1308;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1319;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1408;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1492;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1495;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1589;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1592;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1632;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1696;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1711;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1789;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
1872;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1910;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
1989;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2009;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2041;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2069;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2091;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2097;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2105;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2135;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2217;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2296;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2366;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2391;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2440;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2653;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2743;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2762;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2765;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2823;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2836;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2862;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2908;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
2931;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3017;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3023;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3040;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3144;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3206;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3271;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3288;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3372;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3444;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3450;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3455;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3508;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3514;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3537;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3582;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3596;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3643;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3672;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3681;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
