;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models_features_2_periods/logit_model_10000.sav;models_features_2_periods/linear_model_10000.sav;models_features_2_periods/random_forest_clf_10000.sav;models_features_2_periods/random_forest_regr_10000.sav;models_features_2_periods/gradient_boosting_clf_10000.sav;models_features_2_periods/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models_features_2_periods/logit_model_8000.sav;models_features_2_periods/linear_model_8000.sav;models_features_2_periods/random_forest_clf_8000.sav;models_features_2_periods/random_forest_regr_8000.sav;models_features_2_periods/gradient_boosting_clf_8000.sav;models_features_2_periods/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models_features_2_periods/logit_model_6000.sav;models_features_2_periods/linear_model_6000.sav;models_features_2_periods/random_forest_clf_6000.sav;models_features_2_periods/random_forest_regr_6000.sav;models_features_2_periods/gradient_boosting_clf_6000.sav;models_features_2_periods/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models_features_2_periods/logit_model_5000.sav;models_features_2_periods/linear_model_5000.sav;models_features_2_periods/random_forest_clf_5000.sav;models_features_2_periods/random_forest_regr_5000.sav;models_features_2_periods/gradient_boosting_clf_5000.sav;models_features_2_periods/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models_features_2_periods/logit_model_4000.sav;models_features_2_periods/linear_model_4000.sav;models_features_2_periods/random_forest_clf_4000.sav;models_features_2_periods/random_forest_regr_4000.sav;models_features_2_periods/gradient_boosting_clf_4000.sav;models_features_2_periods/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models_features_2_periods/logit_model_3000.sav;models_features_2_periods/linear_model_3000.sav;models_features_2_periods/random_forest_clf_3000.sav;models_features_2_periods/random_forest_regr_3000.sav;models_features_2_periods/gradient_boosting_clf_3000.sav;models_features_2_periods/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models_features_2_periods/logit_model_2000.sav;models_features_2_periods/linear_model_2000.sav;models_features_2_periods/random_forest_clf_2000.sav;models_features_2_periods/random_forest_regr_2000.sav;models_features_2_periods/gradient_boosting_clf_2000.sav;models_features_2_periods/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models_features_2_periods/logit_model_1000.sav;models_features_2_periods/linear_model_1000.sav;models_features_2_periods/random_forest_clf_1000.sav;models_features_2_periods/random_forest_regr_1000.sav;models_features_2_periods/gradient_boosting_clf_1000.sav;models_features_2_periods/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models_features_2_periods/logit_model_500.sav;models_features_2_periods/linear_model_500.sav;models_features_2_periods/random_forest_clf_500.sav;models_features_2_periods/random_forest_regr_500.sav;models_features_2_periods/gradient_boosting_clf_500.sav;models_features_2_periods/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models_features_2_periods/logit_model_200.sav;models_features_2_periods/linear_model_200.sav;models_features_2_periods/random_forest_clf_200.sav;models_features_2_periods/random_forest_regr_200.sav;models_features_2_periods/gradient_boosting_clf_200.sav;models_features_2_periods/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models_features_2_periods/logit_model_100.sav;models_features_2_periods/linear_model_100.sav;models_features_2_periods/random_forest_clf_100.sav;models_features_2_periods/random_forest_regr_100.sav;models_features_2_periods/gradient_boosting_clf_100.sav;models_features_2_periods/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models_features_2_periods/logit_model_50.sav;models_features_2_periods/linear_model_50.sav;models_features_2_periods/random_forest_clf_50.sav;models_features_2_periods/random_forest_regr_50.sav;models_features_2_periods/gradient_boosting_clf_50.sav;models_features_2_periods/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6627;;0.6627;;0.6627;;accuracy;10000
precision;;0.47471;;0.47471;;0.47471;;precision;10000
recall;;0.62314;;0.62314;;0.62314;;recall;10000
f1_score;;0.53889;;0.53889;;0.53889;;f1_score;10000
Explained Variance;;0.92259;;0.9229;;0.92542;;Explained Variance;10000
Mean Squared Error;;0.0026;;0.0026;;0.00251;;Mean Squared Error;10000
Root Mean Squared Error;;0.05103;;0.05098;;0.05011;;Root Mean Squared Error;10000
Mean Absolut Error;;0.04194;;0.04099;;0.04027;;Mean Absolut Error;10000
R2;;0.92133;;0.92148;;0.92412;;R2;10000
Explained Variance;;;0.66737;;0.69354;;0.71154;Explained Variance;10000
Mean Squared Error;;;222.83745;;205.3169;;193.23616;Mean Squared Error;10000
Root Mean Squared Error;;;14.92774;;14.32888;;13.90094;Root Mean Squared Error;10000
Mean Absolut Error;;;11.73552;;11.16219;;10.88265;Mean Absolut Error;10000
R2;;;0.66736;;0.69351;;0.71154;R2;10000
accuracy;;0.6627;;0.6627;;0.6627;;accuracy;8000
precision;;0.47471;;0.47471;;0.47471;;precision;8000
recall;;0.62314;;0.62314;;0.62314;;recall;8000
f1_score;;0.53889;;0.53889;;0.53889;;f1_score;8000
