;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models_features_without_prom/logit_model_10000.sav;models_features_without_prom/linear_model_10000.sav;models_features_without_prom/random_forest_clf_10000.sav;models_features_without_prom/random_forest_regr_10000.sav;models_features_without_prom/gradient_boosting_clf_10000.sav;models_features_without_prom/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models_features_without_prom/logit_model_8000.sav;models_features_without_prom/linear_model_8000.sav;models_features_without_prom/random_forest_clf_8000.sav;models_features_without_prom/random_forest_regr_8000.sav;models_features_without_prom/gradient_boosting_clf_8000.sav;models_features_without_prom/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models_features_without_prom/logit_model_6000.sav;models_features_without_prom/linear_model_6000.sav;models_features_without_prom/random_forest_clf_6000.sav;models_features_without_prom/random_forest_regr_6000.sav;models_features_without_prom/gradient_boosting_clf_6000.sav;models_features_without_prom/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models_features_without_prom/logit_model_5000.sav;models_features_without_prom/linear_model_5000.sav;models_features_without_prom/random_forest_clf_5000.sav;models_features_without_prom/random_forest_regr_5000.sav;models_features_without_prom/gradient_boosting_clf_5000.sav;models_features_without_prom/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models_features_without_prom/logit_model_4000.sav;models_features_without_prom/linear_model_4000.sav;models_features_without_prom/random_forest_clf_4000.sav;models_features_without_prom/random_forest_regr_4000.sav;models_features_without_prom/gradient_boosting_clf_4000.sav;models_features_without_prom/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models_features_without_prom/logit_model_3000.sav;models_features_without_prom/linear_model_3000.sav;models_features_without_prom/random_forest_clf_3000.sav;models_features_without_prom/random_forest_regr_3000.sav;models_features_without_prom/gradient_boosting_clf_3000.sav;models_features_without_prom/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models_features_without_prom/logit_model_2000.sav;models_features_without_prom/linear_model_2000.sav;models_features_without_prom/random_forest_clf_2000.sav;models_features_without_prom/random_forest_regr_2000.sav;models_features_without_prom/gradient_boosting_clf_2000.sav;models_features_without_prom/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models_features_without_prom/logit_model_1000.sav;models_features_without_prom/linear_model_1000.sav;models_features_without_prom/random_forest_clf_1000.sav;models_features_without_prom/random_forest_regr_1000.sav;models_features_without_prom/gradient_boosting_clf_1000.sav;models_features_without_prom/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models_features_without_prom/logit_model_500.sav;models_features_without_prom/linear_model_500.sav;models_features_without_prom/random_forest_clf_500.sav;models_features_without_prom/random_forest_regr_500.sav;models_features_without_prom/gradient_boosting_clf_500.sav;models_features_without_prom/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models_features_without_prom/logit_model_200.sav;models_features_without_prom/linear_model_200.sav;models_features_without_prom/random_forest_clf_200.sav;models_features_without_prom/random_forest_regr_200.sav;models_features_without_prom/gradient_boosting_clf_200.sav;models_features_without_prom/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models_features_without_prom/logit_model_100.sav;models_features_without_prom/linear_model_100.sav;models_features_without_prom/random_forest_clf_100.sav;models_features_without_prom/random_forest_regr_100.sav;models_features_without_prom/gradient_boosting_clf_100.sav;models_features_without_prom/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models_features_without_prom/logit_model_50.sav;models_features_without_prom/linear_model_50.sav;models_features_without_prom/random_forest_clf_50.sav;models_features_without_prom/random_forest_regr_50.sav;models_features_without_prom/gradient_boosting_clf_50.sav;models_features_without_prom/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6339;;0.6342;;0.6357;;accuracy;10000
precision;;0.32831;;0.3747;;0.35818;;precision;10000
recall;;0.60169;;0.58759;;0.59596;;recall;10000
f1_score;;0.42482;;0.45759;;0.44744;;f1_score;10000
Explained Variance;;0.4956;;0.57774;;0.59839;;Explained Variance;10000
Mean Squared Error;;0.01641;;0.01375;;0.01307;;Mean Squared Error;10000
Root Mean Squared Error;;0.12812;;0.11724;;0.11434;;Root Mean Squared Error;10000
Mean Absolut Error;;0.10695;;0.08848;;0.08552;;Mean Absolut Error;10000
R2;;0.49381;;0.5761;;0.59686;;R2;10000
Explained Variance;;;0.68299;;0.78497;;0.77223;Explained Variance;10000
Mean Squared Error;;;206.41042;;140.01347;;148.35274;Mean Squared Error;10000
Root Mean Squared Error;;;14.36699;;11.83273;;12.18001;Root Mean Squared Error;10000
Mean Absolut Error;;;11.48834;;9.5003;;9.80663;Mean Absolut Error;10000
R2;;;0.68299;;0.78496;;0.77216;R2;10000
accuracy;;0.6339;;0.6351;;0.6357;;accuracy;8000
precision;;0.32831;;0.38441;;0.35818;;precision;8000
recall;;0.60169;;0.58695;;0.59596;;recall;8000
f1_score;;0.42482;;0.46456;;0.44744;;f1_score;8000
Explained Variance;;0.49569;;0.56172;;0.59734;;Explained Variance;8000
Mean Squared Error;;0.01637;;0.01422;;0.01307;;Mean Squared Error;8000
Root Mean Squared Error;;0.12796;;0.11926;;0.11433;;Root Mean Squared Error;8000
Mean Absolut Error;;0.10709;;0.09133;;0.08578;;Mean Absolut Error;8000
